CNTSCHID,CNTSTUID,BOOKID,EFFORT_TT,qq_time,qq_items,ldw_n,ldw_credit,ldw_mc,ldw_dis,ldw_nr,ldw_time,SPATH,MPATH,RDESIGN,sci_n,sci_credit,sci_mc,sci_nr,math_n,math_credit,math_mc,math_nr,read_n,read_credit,read_mc,read_nr,CNT,STRATUM,REGION,SC001Q01TA,SC013Q01TA,SCHLTYPE,PRIVATESCH,SCHSIZE_Q,CLSIZE,TOTAT_Q,STRATIO_Q,SCRATIO_Q,SCHSEL,ABGSCIE,PROATCE,EDULEAD,NEGSCLIM,STAFFSHORT,EDUSHORT,DIGPREP,AVLRSOFT,ENCOURPG,STDTEST,TDTEST,W_NRASCHBWT,SENSCWT,vung
70400001,70400011,4.0,55.0,2198.0,70.0,0.0,0.0,,0.0,0.0,,2.0,0.0,1.0,22.0,7.0,0.3181818181818182,0.0,0.0,0.0,,0.0,51.0,27.0,0.5294117647058824,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400012,1.0,57.0,1640.0,68.0,0.0,0.0,,0.0,0.0,,1.0,1.0,0.0,23.0,3.0,0.13043478260869565,0.0,25.0,5.0,0.2,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400013,3.0,82.0,1746.0,71.0,0.0,0.0,,0.0,0.0,,2.0,0.0,1.0,23.0,5.0,0.21739130434782608,0.0,0.0,0.0,,0.0,49.0,21.0,0.42857142857142855,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400014,12.0,73.0,1963.0,71.0,13.0,14.0,1.0769230769230769,0.0,2.0,2298429.0,0.0,2.0,0.0,0.0,0.0,,0.0,27.0,12.0,0.4444444444444444,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400015,2.0,62.0,1692.0,70.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,23.0,8.0,0.34782608695652173,0.0,24.0,11.0,0.4583333333333333,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400016,5.0,91.0,1951.0,70.0,11.0,7.0,0.6363636363636364,1.0,4.0,1919586.0,2.0,0.0,0.0,21.0,9.0,0.42857142857142855,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400017,3.0,57.0,1622.0,70.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,22.0,6.0,0.2727272727272727,0.0,0.0,0.0,,0.0,50.0,23.0,0.46,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400018,11.0,67.0,2175.0,70.0,14.0,4.0,0.2857142857142857,1.0,1.0,1016265.0,0.0,2.0,0.0,0.0,0.0,,0.0,29.0,9.0,0.3103448275862069,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400019,2.0,81.0,1912.0,71.0,0.0,0.0,,0.0,0.0,,1.0,2.0,0.0,23.0,5.0,0.21739130434782608,0.0,31.0,9.0,0.2903225806451613,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400020,3.0,65.0,1599.0,71.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,23.0,3.0,0.13043478260869565,0.0,0.0,0.0,,0.0,50.0,28.0,0.56,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
