CNT,CNTSCHID,STRATUM,REGION,SC001Q01TA,SC013Q01TA,SCHLTYPE,PRIVATESCH,SCHSIZE_Q,CLSIZE,TOTAT_Q,STRATIO_Q,SCRATIO_Q,SCHSEL,ABGSCIE,PROATCE,EDULEAD,NEGSCLIM,STAFFSHORT,EDUSHORT,DIGPREP,AVLRSOFT,ENCOURPG,STDTEST,TDTEST,W_NRASCHBWT,SENSCWT,vung,n_hs,sci_mean,sci_nvalid,math_mean,read_mean,qq_time_mean
VNM,70400130,VNM13,70402,4.0,2.0,1.0,2.0,4.0,48.0,3.0,4.0,4.0,3.0,3.0,5.0,1.3579,-0.7677,-0.587,0.4668,-0.0252,0.4341402802446671,1.6668,1.4097,0.4199,5.8,3.980988720632571,2.0,42.0,0.43122864180176435,33.0,0.4840600660726124,0.6721651680107379,1793.1904761904761
VNM,70400131,VNM20,70403,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,4.0,3.0,3.0,5.0,1.067,0.397,1.5435,1.2477,-0.0252,2.589132669225593,0.8038,2.0707,2.0128,17.51632027,12.022805762389256,3.0,42.0,0.3887158328214229,35.0,0.4165708015303245,0.49566855736813753,1564.2619047619048
VNM,70400132,VNM09,70401,1.0,1.0,3.0,1.0,4.0,48.0,3.0,4.0,2.0,2.0,3.0,5.0,-0.5101,0.1261,0.4994,0.622,-0.481,-0.07095634918709437,-0.3526,1.2219,-0.4272,18.397321429,12.627505017017398,1.0,42.0,0.4920873179407302,34.0,0.4955507756698106,0.6520554474398426,2040.7619047619048
VNM,70400133,VNM10,70401,1.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,1.0,3.0,3.0,5.0,-0.0359,-0.5245,0.0131,1.2477,2.9476,-0.6863345734596552,0.5676,1.3356,1.6334,11.190607402,7.680979628342993,1.0,42.0,0.4232197456057523,35.0,0.49939951875945954,0.6119833004302726,2167.690476190476
VNM,70400134,VNM28,70404,3.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,1.0,3.0,3.0,5.0,0.9471,-0.9838,2.4652,1.2477,-0.0252,-0.10376382520331337,1.0382,2.0707,2.0128,9.9145631068,6.805131706581141,4.0,42.0,0.5674477696216828,35.0,0.6651011827894221,0.7317448541765407,1358.404761904762
VNM,70400135,VNM31,70405,2.0,1.0,3.0,1.0,4.0,38.0,4.0,4.0,1.0,3.0,3.0,5.0,0.7677,-0.317,0.4492,0.1111,-0.1433,-0.3106500196063828,0.9614,1.2671,1.5283,3.5294432548,2.4225299633571566,5.0,41.0,0.47368664054434806,33.0,0.5033730382006244,0.5982152201950117,1782.9268292682927
VNM,70400136,VNM02,70402,4.0,1.0,3.0,2.0,4.0,38.0,3.0,4.0,4.0,3.0,1.0,5.0,0.1467,-0.5245,0.1827,0.8372,0.4615,-0.9287117049778956,0.1766,1.0341,0.8207,1.0,0.6863773656263054,2.0,6.0,0.3974037737624694,6.0,0.09090909090909091,0.6342653003230277,2070.3333333333335
VNM,70400137,VNM16,70402,5.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,2.0,2.0,5.0,0.8552,0.085,-1.4549,0.1424,-0.7795,0.2574646640201211,1.7245,2.0707,0.1778,4.8818081277,3.3507626021838126,2.0,42.0,0.6073815889992362,34.0,0.7398719544009399,0.7859426167740424,1488.4285714285713
VNM,70400138,VNM15,70402,1.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,3.0,3.0,5.0,1.6314,-0.0155,-0.7828,0.3462,-0.0252,-0.5360607519183463,-0.453,0.7495,0.0031,12.790737052,8.779272402170536,2.0,42.0,0.43740130676776634,35.0,0.529625834732972,0.6082863505693983,1346.8809523809523
VNM,70400139,VNM20,70403,1.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,2.0,3.0,2.0,5.0,0.5251,0.1191,0.2099,1.5292,-1.4079,-0.10151318041064396,0.9614,2.0707,0.8244,21.895400338,15.028507203329758,3.0,42.0,0.4925097600191627,34.0,0.5549553968344574,0.6473898819463106,2032.2380952380952
VNM,70400140,VNM16,70402,3.0,1.0,3.0,1.0,4.0,53.0,4.0,4.0,2.0,3.0,2.0,5.0,-0.3018,0.1191,-0.6142,0.0574,0.362,0.8190871030523865,-0.3526,2.0707,2.0128,15.429200917,10.590254279129434,2.0,41.0,0.4228930964868465,32.0,0.5101129368207167,0.6355700040109317,1808.0975609756097
VNM,70400141,VNM11,70401,2.0,1.0,3.0,1.0,2.0,33.0,2.0,3.0,2.0,2.0,3.0,5.0,0.1323,-1.4172,-1.4549,0.1,-0.0252,0.09740919395682603,0.5676,0.2416,0.414,302.01587143,207.29685820945636,1.0,4.0,0.3125,2.0,0.3917837377607493,0.6641526175687666,2124.0
VNM,70400142,VNM20,70403,2.0,1.0,3.0,1.0,4.0,33.0,3.0,4.0,1.0,2.0,1.0,5.0,0.8599,-0.3467,0.2832,-1.421,-0.0784,0.11991564188351979,1.8965,0.4192,0.8207,308.62088095,211.83038724373063,3.0,7.0,0.2225021355456138,6.0,0.2917283950617284,0.452991452991453,3278.285714285714
VNM,70400143,VNM20,70403,1.0,1.0,3.0,1.0,3.0,43.0,2.0,4.0,2.0,3.0,3.0,5.0,-0.2419,-0.0625,1.9596,0.4698,-0.5419,-0.6079948220225098,-0.3526,2.0707,-1.6697,30.285226636,20.787094075813297,3.0,42.0,0.33419257943371944,35.0,0.3268806771488764,0.551086742588445,1919.2857142857142
VNM,70400144,VNM27,70404,2.0,1.0,3.0,1.0,4.0,38.0,3.0,4.0,2.0,3.0,3.0,5.0,1.9067,-0.5312,1.0816,1.2477,-0.0483,1.1702742539700655,1.7245,0.6628,-0.1258,21.411553846,14.696405922783267,4.0,42.0,0.47744605280303215,35.0,0.5845211065208418,0.6681583863861466,1991.5
VNM,70400145,VNM16,70402,1.0,1.0,3.0,1.0,4.0,43.0,1.0,4.0,4.0,3.0,3.0,5.0,0.2796,-2.2095,0.028,0.1,-0.0252,-1.331317433081944,0.9614,1.3356,1.6334,35.220584293,24.174611862848568,2.0,38.0,0.3100110342156552,31.0,0.3326977827408862,0.5395469897182306,2089.4210526315787
VNM,70400146,VNM15,70402,1.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,3.0,2.0,5.0,0.6904,2.1864,-0.0719,-0.4447,0.7497,-0.10376382520331337,0.3271,1.2671,-0.2288,11.324426808,7.772830239702951,2.0,42.0,0.4085264330724689,34.0,0.4641110393792386,0.6316079009745997,1955.9761904761904
VNM,70400147,VNM27,70404,1.0,1.0,3.0,1.0,4.0,48.0,2.0,4.0,4.0,3.0,3.0,5.0,0.5251,-0.5245,0.2099,-0.6922,-0.0252,1.4815557414484912,1.0571,2.0707,0.8207,15.357252414,10.54087045517954,4.0,41.0,0.32306724676289894,33.0,0.30352008273155223,0.5217313004753714,1562.5853658536585
VNM,70400148,VNM16,70402,2.0,1.0,3.0,1.0,1.0,33.0,1.0,2.0,1.0,3.0,2.0,5.0,0.6458,3.5479,0.9995,1.2477,-0.5816,-0.9379739739323426,0.4256,2.0738,0.4199,77.323351724,53.072998457715364,2.0,41.0,0.3373015347823532,34.0,0.3613346362198028,0.4560619725167625,2198.5365853658536
VNM,70400149,VNM33,70405,5.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,1.0,3.0,3.0,5.0,1.0116,-0.2093,0.9018,-0.4533,1.0071,0.6428443031341232,1.7397,1.0341,-0.4272,7.5681053004,5.194576178871031,5.0,42.0,0.6093581977969329,33.0,0.8287422307330775,0.7899277003682627,1560.8095238095239
VNM,70400150,VNM04,70402,2.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,1.0,3.0,3.0,5.0,0.779,-0.9698,-1.4549,0.4698,2.9476,1.044151582319324,-0.3526,2.0707,0.5667,15.850121359,10.879164543247654,2.0,38.0,0.3972335938955855,31.0,0.42108698416000645,0.59503950132868,2033.7105263157894
VNM,70400151,VNM07,70401,1.0,1.0,3.0,2.0,3.0,38.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0896,-0.7033,-0.4317,2.9592,-0.3687,-1.389401381385065,1.3778,0.4802,0.8207,62.416666667,42.84138723807069,1.0,10.0,0.38599256508623514,8.0,0.32972934472934473,0.6042229242229242,2414.75
